Chromosome,Source,Feature,Start,End,Score,Strand,Frame,gene_id,gene_type,gene_name,level,tag,transcript_id,transcript_type,transcript_name,exon_number,exon_id,transcript_support_level,havana_transcript,hgnc_id,havana_gene,ont,protein_id,ccdsid,artif_dupl,length,ENSEMBL_ID,tx_length
chr1,HAVANA,gene,182145,201244,.,-,.,ENSG00000310527.1,lncRNA,WASH9P,2,overlaps_pseudogene,,,,,,,,,,,,,,19099,ENSG00000310527,3198
chr1,HAVANA,gene,182695,184174,.,+,.,ENSG00000279928.2,transcribed_unprocessed_pseudogene,DDX11L17,2,overlapping_locus,,,,,,,,HGNC:55080,OTTHUMG00000191962.1,,,,,1479,ENSG00000279928,570
chr1,HAVANA,gene,185216,195411,.,-,.,ENSG00000279457.4,transcribed_unprocessed_pseudogene,WASH9P,2,overlapping_locus,,,,,,,,HGNC:53981,OTTHUMG00000191963.1,,,,,10195,ENSG00000279457,1397
chr1,ENSEMBL,gene,187890,187958,.,-,.,ENSG00000273874.1,miRNA,MIR6859-2,3,,,,,,,,,HGNC:49954,,,,,,68,ENSG00000273874,68
chr1,HAVANA,gene,199107,199882,.,+,.,ENSG00000308625.1,lncRNA,ENSG00000308625,2,,,,,,,,,,,,,,,775,ENSG00000308625,621
chr1,HAVANA,gene,199947,201629,.,+,.,ENSG00000308544.1,lncRNA,ENSG00000308544,2,,,,,,,,,,,,,,,1682,ENSG00000308544,546
chr1,HAVANA,gene,257863,359681,.,-,.,ENSG00000292994.2,lncRNA,ENSG00000292994,2,overlaps_pseudogene,,,,,,,,,,,,,,101818,ENSG00000292994,5603
chr1,HAVANA,gene,258567,259024,.,-,.,ENSG00000228463.11,transcribed_processed_pseudogene,ENSG00000228463,1,pseudo_consens,,,,,,,,,OTTHUMG00000002552.3,,,,,457,ENSG00000228463,457
chr1,HAVANA,gene,258695,266103,.,+,.,ENSG00000306775.1,lncRNA,ENSG00000306775,2,,,,,,,,,,,,,,,7408,ENSG00000306775,1135
chr1,HAVANA,gene,266752,284291,.,+,.,ENSG00000286448.2,lncRNA,ENSG00000286448,2,,,,,,,,,,OTTHUMG00000194680.1,,,,,17539,ENSG00000286448,1208
chr1,HAVANA,gene,347981,348366,.,-,.,ENSG00000236679.2,transcribed_processed_pseudogene,RPL23AP24,1,overlapping_locus,,,,,,,,HGNC:36176,OTTHUMG00000002854.4,,,,,385,ENSG00000236679,385
chr1,HAVANA,gene,356137,366052,.,+,.,ENSG00000236601.3,lncRNA,ENSG00000236601,2,,,,,,,,,,OTTHUMG00000002855.3,,,,,9915,ENSG00000236601,1021
chr1,HAVANA,gene,365126,532459,.,-,.,ENSG00000290385.2,lncRNA,ENSG00000290385,2,overlaps_pseudogene,,,,,,,,,,,,,,167333,ENSG00000290385,1908
chr1,HAVANA,gene,439869,440232,.,+,.,ENSG00000269732.1,processed_pseudogene,WBP1LP7,1,pseudo_consens,,,,,,,,HGNC:43955,OTTHUMG00000002859.2,,,,,363,ENSG00000269732,363
chr1,HAVANA,gene,450739,451678,.,-,.,ENSG00000284733.2,protein_coding,OR4F29,2,,,,,,,,,HGNC:31275,OTTHUMG00000002860.3,,,,,939,ENSG00000284733,939
chr1,HAVANA,gene,485025,485208,.,-,.,ENSG00000237094.13,transcribed_unprocessed_pseudogene,ENSG00000237094,2,,,,,,,,,,OTTHUMG00000002857.7,,,,,183,ENSG00000237094,183
chr1,HAVANA,gene,487100,489906,.,+,.,ENSG00000233653.3,transcribed_processed_pseudogene,CICP7,1,overlapping_locus,,,,,,,,HGNC:37756,OTTHUMG00000057429.3,,,,,2806,ENSG00000233653,2477
chr1,HAVANA,gene,491224,493241,.,-,.,ENSG00000250575.1,unprocessed_pseudogene,ENSG00000250575,2,overlapping_locus,,,,,,,,,OTTHUMG00000002861.2,,,,,2017,ENSG00000250575,1239
chr1,ENSEMBL,gene,516375,516479,.,-,.,ENSG00000278757.1,snRNA,U6,3,,,,,,,,,,,,,,,104,ENSG00000278757,104
chr1,HAVANA,gene,586053,633129,.,-,.,ENSG00000293331.2,lncRNA,ENSG00000293331,2,overlapping_locus,,,,,,,,,,,,,,47076,ENSG00000293331,1702
chr1,HAVANA,gene,586944,827989,.,-,.,ENSG00000225880.7,lncRNA,LINC00115,2,overlaps_pseudogene,,,,,,,,HGNC:26211,OTTHUMG00000141258.2,,,,,241045,ENSG00000225880,6494
chr1,HAVANA,gene,587576,595116,.,+,.,ENSG00000235146.3,lncRNA,ENSG00000235146,2,,,,,,,,,,OTTHUMG00000002329.1,,,,,7540,ENSG00000235146,1013
chr1,HAVANA,gene,629061,629433,.,+,.,ENSG00000225972.1,unprocessed_pseudogene,MTND1P23,2,,,,,,,,,HGNC:42092,OTTHUMG00000002338.1,,,,,372,ENSG00000225972,372
chr1,HAVANA,gene,629639,630683,.,+,.,ENSG00000225630.1,unprocessed_pseudogene,MTND2P28,2,,,,,,,,,HGNC:42129,OTTHUMG00000002336.1,,,,,1044,ENSG00000225630,1044
chr1,HAVANA,gene,631073,632616,.,+,.,ENSG00000237973.1,unprocessed_pseudogene,MTCO1P12,2,,,,,,,,,HGNC:52014,OTTHUMG00000002333.2,,,,,1543,ENSG00000237973,1543
chr1,ENSEMBL,gene,632324,632413,.,-,.,ENSG00000278791.1,miRNA,ENSG00000278791,3,,,,,,,,,,,,,,,89,ENSG00000278791,89
chr1,HAVANA,gene,632756,633438,.,+,.,ENSG00000229344.1,unprocessed_pseudogene,MTCO2P12,2,,,,,,,,,HGNC:52028,OTTHUMG00000002334.1,,,,,682,ENSG00000229344,682
chr1,HAVANA,gene,633534,633741,.,+,.,ENSG00000240409.1,unprocessed_pseudogene,MTATP8P1,2,overlapping_locus,,,,,,,,HGNC:44571,OTTHUMG00000002473.1,,,,,207,ENSG00000240409,207
chr1,HAVANA,gene,633695,634376,.,+,.,ENSG00000248527.1,unprocessed_pseudogene,MTATP6P1,2,overlapping_locus,,,,,,,,HGNC:44575,OTTHUMG00000002335.2,,,,,681,ENSG00000248527,681
chr1,HAVANA,gene,634375,634922,.,+,.,ENSG00000198744.5,unprocessed_pseudogene,MTCO3P12,2,,,,,,,,,HGNC:52042,OTTHUMG00000002337.2,,,,,547,ENSG00000198744,547
chr1,HAVANA,gene,674841,675265,.,+,.,ENSG00000268663.1,processed_pseudogene,WBP1LP6,1,pseudo_consens,,,,,,,,HGNC:43956,OTTHUMG00000002340.3,,,,,424,ENSG00000268663,424
chr1,HAVANA,gene,685715,686654,.,-,.,ENSG00000284662.2,protein_coding,OR4F16,2,,,,,,,,,HGNC:15079,OTTHUMG00000002581.3,,,,,939,ENSG00000284662,939
chr1,HAVANA,gene,720023,720206,.,-,.,ENSG00000230021.11,transcribed_processed_pseudogene,ENSG00000230021,2,,,,,,,,,,OTTHUMG00000191652.4,,,,,183,ENSG00000230021,183
chr1,HAVANA,gene,722091,724903,.,+,.,ENSG00000229376.3,processed_pseudogene,CICP3,1,pseudo_consens,,,,,,,,HGNC:37742,OTTHUMG00000057431.3,,,,,2812,ENSG00000229376,2455
chr1,ENSEMBL,gene,758232,758336,.,-,.,ENSG00000223181.1,snRNA,RNU6-1199P,3,,,,,,,,,HGNC:48162,,,,,,104,ENSG00000223181,104
chr1,HAVANA,gene,760910,761989,.,+,.,ENSG00000229905.1,lncRNA,ENSG00000229905,2,,,,,,,,,,OTTHUMG00000002408.1,,,,,1079,ENSG00000229905,456
chr1,HAVANA,gene,764722,774280,.,-,.,ENSG00000228327.6,transcribed_unprocessed_pseudogene,ENSG00000228327,2,,,,,,,,,,OTTHUMG00000002406.2,,,,,9558,ENSG00000228327,417
chr1,HAVANA,gene,778738,810066,.,+,.,ENSG00000237491.11,lncRNA,LINC01409,2,,,,,,,,,HGNC:50701,OTTHUMG00000002404.21,,,,,31328,ENSG00000237491,3247
chr1,HAVANA,gene,781936,782050,.,+,.,ENSG00000285268.1,transcribed_processed_pseudogene,ENSG00000285268,2,overlapping_locus,,,,,,,,,OTTHUMG00000192553.1,,,,,114,ENSG00000285268,114
chr1,HAVANA,gene,805798,810161,.,-,.,ENSG00000230092.8,transcribed_unprocessed_pseudogene,ENSG00000230092,2,overlapping_locus,,,,,,,,,OTTHUMG00000002403.3,,,,,4363,ENSG00000230092,238
chr1,HAVANA,gene,817362,819842,.,+,.,ENSG00000177757.3,lncRNA,FAM87B,2,,,,,,,,,HGNC:32236,OTTHUMG00000002471.2,,,,,2480,ENSG00000177757,1960
chr1,HAVANA,gene,825137,868835,.,+,.,ENSG00000228794.13,lncRNA,LINC01128,2,,,,,,,,,HGNC:49377,OTTHUMG00000196004.1,,,,,43698,ENSG00000228794,8389
chr1,HAVANA,gene,833097,835618,.,-,.,ENSG00000297178.1,lncRNA,ENSG00000297178,2,,,,,,,,,,,,,,,2521,ENSG00000297178,1689
chr1,HAVANA,gene,850901,852130,.,-,.,ENSG00000297224.1,lncRNA,ENSG00000297224,2,,,,,,,,,,,,,,,1229,ENSG00000297224,980
chr1,HAVANA,gene,868051,877032,.,-,.,ENSG00000230368.3,lncRNA,FAM41C,2,,,,,,,,,HGNC:27635,OTTHUMG00000002469.1,,,,,8981,ENSG00000230368,1887
chr1,HAVANA,gene,873291,874349,.,+,.,ENSG00000234711.1,unprocessed_pseudogene,TUBB8P11,1,pseudo_consens,,,,,,,,HGNC:32337,OTTHUMG00000002470.2,,,,,1058,ENSG00000234711,1058
chr1,HAVANA,gene,874528,877234,.,-,.,ENSG00000283040.1,transcribed_unprocessed_pseudogene,ENSG00000283040,2,,,,,,,,,,OTTHUMG00000191520.1,,,,,2706,ENSG00000283040,837
chr1,HAVANA,gene,882160,889297,.,+,.,ENSG00000296088.1,lncRNA,ENSG00000296088,2,,,,,,,,,,,,,,,7137,ENSG00000296088,657
chr1,HAVANA,gene,904785,921034,.,+,.,ENSG00000272438.2,lncRNA,ENSG00000272438,2,overlapping_locus,,,,,,,,,OTTHUMG00000185550.1,,,,,16249,ENSG00000272438,3043
chr1,HAVANA,gene,908072,910592,.,-,.,ENSG00000298603.1,lncRNA,ENSG00000298603,2,,,,,,,,,,,,,,,2520,ENSG00000298603,417
chr1,HAVANA,gene,916864,925614,.,-,.,ENSG00000223764.3,lncRNA,LINC02593,2,,,,,,,,,HGNC:53933,OTTHUMG00000040718.2,,,,,8750,ENSG00000223764,4152
chr1,HAVANA,gene,923922,944575,.,+,.,ENSG00000187634.13,protein_coding,SAMD11,2,,,,,,,,,HGNC:28706,OTTHUMG00000040719.11,,,,,20653,ENSG00000187634,3468
chr1,HAVANA,gene,944202,959309,.,-,.,ENSG00000188976.11,protein_coding,NOC2L,2,,,,,,,,,HGNC:24517,OTTHUMG00000040720.2,,,,,15107,ENSG00000188976,4201
chr1,HAVANA,gene,960583,965719,.,+,.,ENSG00000187961.15,protein_coding,KLHL17,2,,,,,,,,,HGNC:24023,OTTHUMG00000040721.8,,,,,5136,ENSG00000187961,2567
chr1,HAVANA,gene,966481,975865,.,+,.,ENSG00000187583.11,protein_coding,PLEKHN1,2,,,,,,,,,HGNC:25284,OTTHUMG00000040756.5,,,,,9384,ENSG00000187583,3176
chr1,HAVANA,gene,975197,982117,.,-,.,ENSG00000187642.10,protein_coding,PERM1,2,,,,,,,,,HGNC:28208,OTTHUMG00000040757.3,,,,,6920,ENSG00000187642,3520
chr1,HAVANA,gene,982504,989967,.,+,.,ENSG00000303599.1,lncRNA,ENSG00000303599,2,,,,,,,,,,,,,,,7463,ENSG00000303599,540
chr1,HAVANA,gene,995965,998051,.,-,.,ENSG00000272512.1,lncRNA,ENSG00000272512,2,,,,,,,,,,OTTHUMG00000185581.1,,,,,2086,ENSG00000272512,2086
chr1,HAVANA,gene,998961,1000172,.,-,.,ENSG00000188290.11,protein_coding,HES4,2,,,,,,,,,HGNC:24149,OTTHUMG00000040758.2,,,,,1211,ENSG00000188290,1040
chr1,HAVANA,gene,1000714,1001068,.,+,.,ENSG00000303623.1,lncRNA,ENSG00000303623,2,,,,,,,,,,,,,,,354,ENSG00000303623,354
chr1,HAVANA,gene,1001137,1014540,.,+,.,ENSG00000187608.10,protein_coding,ISG15,2,,,,,,,,,HGNC:4053,OTTHUMG00000040777.4,,,,,13403,ENSG00000187608,787
chr1,HAVANA,gene,1004057,1006442,.,-,.,ENSG00000303614.1,lncRNA,ENSG00000303614,2,,,,,,,,,,,,,,,2385,ENSG00000303614,555
chr1,HAVANA,gene,1008075,1008229,.,-,.,ENSG00000231702.2,processed_pseudogene,ENSG00000231702,2,,,,,,,,,,OTTHUMG00000040759.3,,,,,154,ENSG00000231702,154
chr1,HAVANA,gene,1011996,1013193,.,-,.,ENSG00000224969.1,lncRNA,ENSG00000224969,1,,,,,,,,,,OTTHUMG00000040779.1,,,,,1197,ENSG00000224969,471
chr1,HAVANA,gene,1020119,1056119,.,+,.,ENSG00000188157.16,protein_coding,AGRN,2,overlapping_locus,,,,,,,,HGNC:329,OTTHUMG00000040778.7,,,,,36000,ENSG00000188157,7477
chr1,HAVANA,gene,1055032,1056116,.,+,.,ENSG00000242590.1,lncRNA,ENSG00000242590,2,overlapping_locus,,,,,,,,,OTTHUMG00000040780.1,,,,,1084,ENSG00000242590,402
chr1,HAVANA,gene,1058460,1066464,.,+,.,ENSG00000291156.2,lncRNA,ENSG00000291156,2,overlaps_pseudogene,,,,,,,,,,,,,,8004,ENSG00000291156,1321
chr1,HAVANA,gene,1061266,1064278,.,-,.,ENSG00000273443.2,lncRNA,ENSG00000273443,2,,,,,,,,,,OTTHUMG00000186253.1,,,,,3012,ENSG00000273443,1156
chr1,HAVANA,gene,1063078,1069355,.,+,.,ENSG00000217801.13,transcribed_unprocessed_pseudogene,ENSG00000217801,2,,,,,,,,,,OTTHUMG00000000629.5,,,,,6277,ENSG00000217801,1219
chr1,HAVANA,gene,1065633,1069347,.,-,.,ENSG00000304119.1,lncRNA,ENSG00000304119,2,,,,,,,,,,,,,,,3714,ENSG00000304119,655
chr1,HAVANA,gene,1069212,1072933,.,+,.,ENSG00000304169.1,lncRNA,ENSG00000304169,2,,,,,,,,,,,,,,,3721,ENSG00000304169,698
chr1,HAVANA,gene,1070966,1074306,.,-,.,ENSG00000237330.3,protein_coding,RNF223,2,,,,,,,,,HGNC:40020,OTTHUMG00000185582.2,,,,,3340,ENSG00000237330,1900
chr1,HAVANA,gene,1081817,1116361,.,-,.,ENSG00000131591.18,protein_coding,C1orf159,2,,,,,,,,,HGNC:26062,OTTHUMG00000000745.9,,,,,34544,ENSG00000131591,3315
chr1,HAVANA,gene,1097584,1104598,.,+,.,ENSG00000285812.1,lncRNA,ENSG00000285812,2,,,,,,,,,,OTTHUMG00000193099.1,,,,,7014,ENSG00000285812,1095
chr1,HAVANA,gene,1126311,1129023,.,-,.,ENSG00000299943.1,lncRNA,ENSG00000299943,2,,,,,,,,,,,,,,,2712,ENSG00000299943,1654
chr1,HAVANA,gene,1137016,1144056,.,+,.,ENSG00000223823.1,lncRNA,LINC01342,2,,,,,,,,,HGNC:50551,OTTHUMG00000000827.1,,,,,7040,ENSG00000223823,1620
chr1,HAVANA,gene,1157404,1158254,.,-,.,ENSG00000304965.1,lncRNA,ENSG00000304965,2,,,,,,,,,,,,,,,850,ENSG00000304965,850
chr1,ENSEMBL,gene,1167103,1167198,.,+,.,ENSG00000207730.3,miRNA,MIR200B,3,,,,,,,,,HGNC:31579,,,,,,95,ENSG00000207730,95
chr1,ENSEMBL,gene,1167862,1167952,.,+,.,ENSG00000207607.3,miRNA,MIR200A,3,,,,,,,,,HGNC:31578,,,,,,90,ENSG00000207607,90
chr1,ENSEMBL,gene,1169004,1169087,.,+,.,ENSG00000198976.1,miRNA,MIR429,3,,,,,,,,,HGNC:13784,,,,,,83,ENSG00000198976,83
chr1,HAVANA,gene,1169356,1170343,.,+,.,ENSG00000272141.1,lncRNA,ENSG00000272141,2,,,,,,,,,,OTTHUMG00000185583.1,,,,,987,ENSG00000272141,987
chr1,HAVANA,gene,1173055,1179555,.,-,.,ENSG00000205231.1,lncRNA,TTLL10-AS1,2,,,,,,,,,HGNC:41159,OTTHUMG00000000850.1,,,,,6500,ENSG00000205231,3532
chr1,HAVANA,gene,1173879,1197936,.,+,.,ENSG00000162571.14,protein_coding,TTLL10,2,,,,,,,,,HGNC:26693,OTTHUMG00000000851.6,,,,,24057,ENSG00000162571,2307
chr1,HAVANA,gene,1203507,1206592,.,-,.,ENSG00000186891.14,protein_coding,TNFRSF18,2,,,,,,,,,HGNC:11914,OTTHUMG00000001414.5,,,,,3085,ENSG00000186891,1083
chr1,HAVANA,gene,1211325,1214153,.,-,.,ENSG00000186827.12,protein_coding,TNFRSF4,2,,,,,,,,,HGNC:11918,OTTHUMG00000001415.5,,,,,2828,ENSG00000186827,1707
chr1,HAVANA,gene,1216907,1228947,.,+,.,ENSG00000304412.1,lncRNA,ENSG00000304412,2,,,,,,,,,,,,,,,12040,ENSG00000304412,499
chr1,HAVANA,gene,1216930,1232031,.,-,.,ENSG00000078808.20,protein_coding,SDF4,2,,,,,,,,,HGNC:24188,OTTHUMG00000001812.7,,,,,15101,ENSG00000078808,3516
chr1,HAVANA,gene,1232236,1235041,.,+,.,ENSG00000176022.7,protein_coding,B3GALT6,2,retrogene,,,,,,,,HGNC:17978,OTTHUMG00000001813.3,,,,,2805,ENSG00000176022,2805
chr1,HAVANA,gene,1242445,1246722,.,-,.,ENSG00000184163.3,protein_coding,C1QTNF12,2,,,,,,,,,HGNC:32308,OTTHUMG00000001412.6,,,,,4277,ENSG00000184163,1036
chr1,HAVANA,gene,1249776,1251334,.,-,.,ENSG00000260179.1,lncRNA,ENSG00000260179,2,,,,,,,,,,OTTHUMG00000175732.1,,,,,1558,ENSG00000260179,1558
chr1,HAVANA,gene,1253908,1273864,.,-,.,ENSG00000160087.21,protein_coding,UBE2J2,2,,,,,,,,,HGNC:19268,OTTHUMG00000001911.9,,,,,19956,ENSG00000160087,2455
chr1,HAVANA,gene,1274032,1280420,.,+,.,ENSG00000230415.2,lncRNA,LINC01786,2,,,,,,,,,HGNC:52575,OTTHUMG00000002234.2,,,,,6388,ENSG00000230415,1144
chr1,HAVANA,gene,1280435,1292029,.,+,.,ENSG00000162572.21,protein_coding,SCNN1D,2,,,,,,,,,HGNC:10601,OTTHUMG00000002081.8,,,,,11594,ENSG00000162572,3475
chr1,HAVANA,gene,1292389,1309609,.,-,.,ENSG00000131584.19,protein_coding,ACAP3,2,ncRNA_host,,,,,,,,HGNC:16754,OTTHUMG00000002235.5,,,,,17220,ENSG00000131584,5319
chr1,ENSEMBL,gene,1296109,1296170,.,-,.,ENSG00000278073.1,miRNA,MIR6726,3,,,,,,,,,HGNC:50009,,,,,,61,ENSG00000278073,61
chr1,HAVANA,gene,1308596,1311677,.,+,.,ENSG00000169972.13,protein_coding,PUSL1,2,,,,,,,,,HGNC:26914,OTTHUMG00000003361.4,,,,,3081,ENSG00000169972,1783
chr1,HAVANA,gene,1311584,1324687,.,-,.,ENSG00000127054.22,protein_coding,INTS11,1,overlapping_locus,,,,,,,,HGNC:26052,OTTHUMG00000003330.13,,,,,13103,ENSG00000127054,3079
chr1,ENSEMBL,gene,1312501,1312566,.,-,.,ENSG00000283712.1,miRNA,MIR6727,3,,,,,,,,,HGNC:50171,,,,,,65,ENSG00000283712,65
chr1,HAVANA,gene,1317580,1318689,.,-,.,ENSG00000240731.1,lncRNA,ENSG00000240731,2,overlapping_locus,,,,,,,,,OTTHUMG00000003331.1,,,,,1109,ENSG00000240731,386
chr1,HAVANA,gene,1324755,1328896,.,+,.,ENSG00000224051.7,protein_coding,CPTP,2,,,,,,,,,HGNC:28116,OTTHUMG00000003171.4,,,,,4141,ENSG00000224051,2154
chr1,HAVANA,gene,1331279,1335314,.,+,.,ENSG00000169962.5,protein_coding,TAS1R3,2,,,,,,,,,HGNC:15661,OTTHUMG00000003071.2,,,,,4035,ENSG00000169962,3475
chr1,HAVANA,gene,1335275,1349418,.,-,.,ENSG00000107404.21,protein_coding,DVL1,2,ncRNA_host,,,,,,,,HGNC:3084,OTTHUMG00000003069.5,,,,,14143,ENSG00000107404,3305
chr1,ENSEMBL,gene,1339649,1339708,.,-,.,ENSG00000284372.1,miRNA,MIR6808,3,,,,,,,,,HGNC:50046,,,,,,59,ENSG00000284372,59
chr1,HAVANA,gene,1348182,1362350,.,+,.,ENSG00000304860.1,lncRNA,ENSG00000304860,2,,,,,,,,,,,,,,,14168,ENSG00000304860,548
chr1,HAVANA,gene,1352688,1361777,.,-,.,ENSG00000162576.17,protein_coding,MXRA8,2,,,,,,,,,HGNC:7542,OTTHUMG00000002973.5,,,,,9089,ENSG00000162576,2728
chr1,HAVANA,gene,1373729,1375207,.,-,.,ENSG00000175756.14,protein_coding,AURKAIP1,2,,,,,,,,,HGNC:24114,OTTHUMG00000001413.3,,,,,1478,ENSG00000175756,1072
chr1,HAVANA,gene,1378665,1379032,.,+,.,ENSG00000223663.2,processed_pseudogene,NDUFB4P8,1,pseudo_consens,,,,,,,,HGNC:45256,OTTHUMG00000002972.2,,,,,367,ENSG00000223663,367
chr1,HAVANA,gene,1385710,1399335,.,-,.,ENSG00000221978.13,protein_coding,CCNL2,2,,,,,,,,,HGNC:20570,OTTHUMG00000002917.7,,,,,13625,ENSG00000221978,4452
chr1,HAVANA,gene,1399475,1402054,.,+,.,ENSG00000224870.10,lncRNA,MRPL20-AS1,2,,,,,,,,,HGNC:27125,OTTHUMG00000002908.6,,,,,2579,ENSG00000224870,2529
chr1,HAVANA,gene,1401908,1407293,.,-,.,ENSG00000242485.6,protein_coding,MRPL20,1,ncRNA_host,,,,,,,,HGNC:14478,OTTHUMG00000002916.4,,,,,5385,ENSG00000242485,1693
chr1,ENSEMBL,gene,1405459,1405752,.,-,.,ENSG00000264293.2,misc_RNA,RN7SL657P,3,,,,,,,,,HGNC:46673,,,,,,293,ENSG00000264293,293
chr1,HAVANA,gene,1407357,1408306,.,+,.,ENSG00000301639.1,lncRNA,ENSG00000301639,2,,,,,,,,,,,,,,,949,ENSG00000301639,475
chr1,HAVANA,gene,1409095,1410618,.,+,.,ENSG00000272455.1,lncRNA,MRPL20-DT,2,,,,,,,,,HGNC:54814,OTTHUMG00000185586.1,,,,,1523,ENSG00000272455,1523
chr1,HAVANA,gene,1418419,1421769,.,-,.,ENSG00000235098.9,protein_coding,ANKRD65,1,,,,,,,,,HGNC:42950,OTTHUMG00000002911.4,,,,,3350,ENSG00000235098,2024
chr1,HAVANA,gene,1420244,1423287,.,+,.,ENSG00000225905.2,lncRNA,ANKRD65-AS1,2,,,,,,,,,HGNC:55844,OTTHUMG00000002912.1,,,,,3043,ENSG00000225905,902
