Chromosome,Source,Feature,Start,End,Score,Strand,Frame,gene_id,gene_type,gene_name,level,mgi_id,havana_gene,transcript_id,transcript_type,transcript_name,transcript_support_level,tag,havana_transcript,exon_number,exon_id,protein_id,ccdsid,ont,length,ENSEMBL_ID,tx_length
chr1,HAVANA,gene,5008798,5010933,.,-,.,ENSMUSG00000102653.2,TEC,Gm37079,2,MGI:5610307,OTTMUSG00000050102.1,,,,,,,,,,,,2135,ENSMUSG00000102653,2135
chr1,HAVANA,gene,5041079,5047043,.,+,.,ENSMUSG00000085623.2,lncRNA,Gm16041,2,MGI:3801909,OTTMUSG00000029344.1,,,,,,,,,,,,5964,ENSMUSG00000085623,3725
chr1,HAVANA,gene,5133282,5134870,.,+,.,ENSMUSG00000091665.2,processed_pseudogene,Gm17101,2,MGI:4937928,OTTMUSG00000035899.1,,,,,,,,,,,,1588,ENSMUSG00000091665,1588
chr1,HAVANA,gene,5140240,5232752,.,+,.,ENSMUSG00000033793.13,protein_coding,Atp6v1h,2,MGI:1914864,OTTMUSG00000050145.1,,,,,,,,,,,,92512,ENSMUSG00000033793,4829
chr1,HAVANA,gene,5204973,5213367,.,-,.,ENSMUSG00000143188.1,lncRNA,ENSMUSG00000143188,2,,,,,,,,,,,,,,8394,ENSMUSG00000143188,447
chr1,HAVANA,gene,5346328,5347560,.,-,.,ENSMUSG00000104352.2,processed_pseudogene,Gm7182,2,MGI:3644877,OTTMUSG00000050143.1,,,,,,,,,,,,1232,ENSMUSG00000104352,732
chr1,HAVANA,gene,5357816,5417356,.,+,.,ENSMUSG00000143351.1,lncRNA,ENSMUSG00000143351,2,,,,,,,,,,,,,,59540,ENSMUSG00000143351,1982
chr1,HAVANA,gene,5377961,5380240,.,+,.,ENSMUSG00000104046.2,TEC,Gm37567,2,MGI:5610795,OTTMUSG00000050142.1,,,,,,,,,,,,2279,ENSMUSG00000104046,2279
chr1,HAVANA,gene,5473769,5475801,.,+,.,ENSMUSG00000102907.2,TEC,Gm38264,2,MGI:5611492,OTTMUSG00000050141.1,,,,,,,,,,,,2032,ENSMUSG00000102907,2032
chr1,HAVANA,gene,5658688,5676354,.,+,.,ENSMUSG00000025905.15,protein_coding,Oprk1,2,MGI:97439,OTTMUSG00000034734.1,,,,,,,,,,,,17666,ENSMUSG00000025905,4675
chr1,HAVANA,gene,5688059,5688453,.,-,.,ENSMUSG00000103936.2,processed_pseudogene,Gm36965,2,MGI:5610193,OTTMUSG00000050226.1,,,,,,,,,,,,394,ENSMUSG00000103936,394
chr1,ENSEMBL,gene,5714867,5714968,.,-,.,ENSMUSG00002076544.1,miRNA,Gm56304,3,MGI:6849066,,,,,,,,,,,,,101,ENSMUSG00002076544,101
chr1,HAVANA,gene,5913096,5914895,.,-,.,ENSMUSG00000103519.2,TEC,Gm37429,2,MGI:5610657,OTTMUSG00000050227.1,,,,,,,,,,,,1799,ENSMUSG00000103519,1799
chr1,HAVANA,gene,5983925,5987617,.,-,.,ENSMUSG00000033774.5,protein_coding,Npbwr1,2,MGI:891989,OTTMUSG00000050228.1,,,,,,,,,,,,3692,ENSMUSG00000033774,3692
chr1,HAVANA,gene,6119186,6120269,.,-,.,ENSMUSG00000103090.2,processed_pseudogene,Gm19214,2,MGI:5011399,OTTMUSG00000050229.1,,,,,,,,,,,,1083,ENSMUSG00000103090,1083
chr1,HAVANA,gene,6234352,6285517,.,-,.,ENSMUSG00000090031.5,lncRNA,4732440D04Rik,2,MGI:3604103,OTTMUSG00000033728.1,,,,,,,,,,,,51165,ENSMUSG00000090031,5428
chr1,HAVANA,gene,6276420,6346872,.,+,.,ENSMUSG00000025907.15,protein_coding,Rb1cc1,2,MGI:1341850,OTTMUSG00000033467.1,,,,,,,,,,,,70452,ENSMUSG00000025907,7607
chr1,HAVANA,gene,6429441,6464955,.,+,.,ENSMUSG00000087247.4,protein_coding,Alkal1,2,MGI:3645495,OTTMUSG00000050239.1,,,,,overlapping_locus,,,,,,,35514,ENSMUSG00000087247,971
chr1,HAVANA,gene,6447706,6453291,.,-,.,ENSMUSG00000143943.1,lncRNA,ENSMUSG00000143943,2,,,,,,,overlaps_pseudogene,,,,,,,5585,ENSMUSG00000143943,1409
chr1,HAVANA,gene,6450617,6451256,.,+,.,ENSMUSG00000103355.2,processed_pseudogene,Gm2147,2,MGI:3780316,OTTMUSG00000050242.1,,,,,overlapping_locus,,,,,,,639,ENSMUSG00000103355,639
chr1,HAVANA,gene,6452857,6453330,.,-,.,ENSMUSG00000102706.2,transcribed_processed_pseudogene,Gm7417,2,MGI:3647903,OTTMUSG00000050241.1,,,,,overlapping_locus,,,,,,,473,ENSMUSG00000102706,473
chr1,HAVANA,gene,6476014,6499052,.,-,.,ENSMUSG00000141243.1,lncRNA,ENSMUSG00000141243,2,,,,,,,,,,,,,,23038,ENSMUSG00000141243,627
chr1,HAVANA,gene,6499878,6511520,.,-,.,ENSMUSG00000103845.2,processed_pseudogene,Gm19026,2,MGI:5011211,OTTMUSG00000050243.1,,,,,,,,,,,,11642,ENSMUSG00000103845,4530
chr1,HAVANA,gene,6557454,6931164,.,+,.,ENSMUSG00000033740.18,protein_coding,St18,1,MGI:2446700,OTTMUSG00000024833.1,,,,,,,,,,,,373710,ENSMUSG00000033740,5892
chr1,HAVANA,gene,6931460,6934375,.,-,.,ENSMUSG00000103329.3,TEC,Gm42492,2,MGI:5662629,OTTMUSG00000054318.1,,,,,,,,,,,,2915,ENSMUSG00000103329,2915
chr1,HAVANA,gene,6980783,6981446,.,+,.,ENSMUSG00000104385.2,processed_pseudogene,Gm7449,2,MGI:3647895,OTTMUSG00000050289.1,,,,,,,,,,,,663,ENSMUSG00000104385,663
chr1,HAVANA,gene,6986782,6993812,.,+,.,ENSMUSG00000102135.2,processed_pseudogene,Gm37108,2,MGI:5610336,OTTMUSG00000050281.1,,,,,,,,,,,,7030,ENSMUSG00000102135,626
chr1,HAVANA,gene,6999982,7000012,.,+,.,ENSMUSG00000103282.2,processed_pseudogene,Gm37275,2,MGI:5610503,OTTMUSG00000050290.1,,,,,,,,,,,,30,ENSMUSG00000103282,30
chr1,HAVANA,gene,7068440,7068765,.,+,.,ENSMUSG00000102534.2,processed_pseudogene,Gm37225,2,MGI:5610453,OTTMUSG00000050280.1,,,,,,,,,,,,325,ENSMUSG00000102534,325
chr1,HAVANA,gene,7083985,7084144,.,+,.,ENSMUSG00000102213.2,processed_pseudogene,Gm37489,2,MGI:5610717,OTTMUSG00000050259.1,,,,,,,,,,,,159,ENSMUSG00000102213,159
chr1,HAVANA,gene,7106138,7107441,.,+,.,ENSMUSG00000103629.2,processed_pseudogene,Gm5694,2,MGI:3645764,OTTMUSG00000050258.1,,,,,,,,,,,,1303,ENSMUSG00000103629,641
chr1,HAVANA,gene,7157895,7159234,.,-,.,ENSMUSG00000120372.2,lncRNA,Gm57122,2,MGI:7338157,,,,,,,,,,,,,1339,ENSMUSG00000120372,1339
chr1,HAVANA,gene,7159143,7243852,.,+,.,ENSMUSG00000051285.18,protein_coding,Pcmtd1,2,MGI:2441773,OTTMUSG00000043373.1,,,,,overlapping_locus,,,,,,,84709,ENSMUSG00000051285,5232
chr1,HAVANA,gene,7194979,7200090,.,-,.,ENSMUSG00000138092.1,lncRNA,ENSMUSG00000138092,2,,,,,,,,,,,,,,5111,ENSMUSG00000138092,531
chr1,HAVANA,gene,7206422,7206810,.,-,.,ENSMUSG00000098201.2,processed_pseudogene,Gm26983,2,MGI:5504098,OTTMUSG00000043535.1,,,,,,,,,,,,388,ENSMUSG00000098201,388
chr1,HAVANA,gene,7218333,7222361,.,+,.,ENSMUSG00000103509.2,TEC,Gm38372,2,MGI:5611600,OTTMUSG00000043377.1,,,,,,,,,,,,4028,ENSMUSG00000103509,4028
chr1,HAVANA,gene,7244783,7277977,.,-,.,ENSMUSG00000126455.1,lncRNA,ENSMUSG00000126455,2,,,,,,,,,,,,,,33194,ENSMUSG00000126455,327
chr1,HAVANA,gene,7247962,7249261,.,+,.,ENSMUSG00000048538.8,processed_pseudogene,Gm9826,2,MGI:3642725,OTTMUSG00000050237.1,,,,,,,,,,,,1299,ENSMUSG00000048538,1299
chr1,HAVANA,gene,7259965,7260143,.,-,.,ENSMUSG00000103709.2,processed_pseudogene,Nras-ps2,2,MGI:97378,OTTMUSG00000050238.1,,,,,,,,,,,,178,ENSMUSG00000103709,178
chr1,HAVANA,gene,7276787,7278199,.,+,.,ENSMUSG00000126493.1,lncRNA,ENSMUSG00000126493,2,,,,,,,,,,,,,,1412,ENSMUSG00000126493,435
chr1,ENSEMBL,gene,7336026,7336156,.,+,.,ENSMUSG00000077244.3,snoRNA,Gm23274,3,MGI:5453051,,,,,,,,,,,,,130,ENSMUSG00000077244,130
chr1,HAVANA,gene,7384853,7468544,.,-,.,ENSMUSG00000097797.8,lncRNA,Gm26901,2,MGI:5477395,OTTMUSG00000050305.1,,,,,,,,,,,,83691,ENSMUSG00000097797,3608
chr1,HAVANA,gene,7385674,7386686,.,+,.,ENSMUSG00000102768.2,processed_pseudogene,Gm19002,2,MGI:5011187,OTTMUSG00000050231.1,,,,,,,,,,,,1012,ENSMUSG00000102768,1012
chr1,HAVANA,gene,7480902,7482217,.,+,.,ENSMUSG00000103498.2,processed_pseudogene,Gm18984,2,MGI:5011169,OTTMUSG00000050306.1,,,,,,,,,,,,1315,ENSMUSG00000103498,1124
chr1,HAVANA,gene,7568191,7588373,.,+,.,ENSMUSG00000103067.2,lncRNA,Gm30414,2,MGI:5589573,OTTMUSG00000050304.1,,,,,,,,,,,,20182,ENSMUSG00000103067,2596
chr1,HAVANA,gene,7661869,7662155,.,+,.,ENSMUSG00000102320.2,processed_pseudogene,Gm37791,2,MGI:5611019,OTTMUSG00000050303.1,,,,,,,,,,,,286,ENSMUSG00000102320,286
chr1,HAVANA,gene,7667602,7669697,.,+,.,ENSMUSG00000104226.2,processed_pseudogene,Gm7470,2,MGI:3645544,OTTMUSG00000050302.1,,,,,,,,,,,,2095,ENSMUSG00000104226,2095
chr1,HAVANA,gene,7734304,7735185,.,+,.,ENSMUSG00000103903.2,processed_pseudogene,Rps2-ps2,2,MGI:3645546,OTTMUSG00000050301.1,,,,,,,,,,,,881,ENSMUSG00000103903,881
chr1,HAVANA,gene,7799084,7800789,.,-,.,ENSMUSG00000103557.2,processed_pseudogene,Gm38216,2,MGI:5611444,OTTMUSG00000050300.1,,,,,,,,,,,,1705,ENSMUSG00000103557,1214
chr1,HAVANA,gene,8159975,8192800,.,-,.,ENSMUSG00000132588.1,lncRNA,ENSMUSG00000132588,2,,,,,,,,,,,,,,32825,ENSMUSG00000132588,1367
chr1,HAVANA,gene,8359884,8369127,.,+,.,ENSMUSG00000135709.1,lncRNA,ENSMUSG00000135709,2,,,,,,,,,,,,,,9243,ENSMUSG00000135709,364
chr1,HAVANA,gene,8392061,8392773,.,-,.,ENSMUSG00000135722.1,lncRNA,ENSMUSG00000135722,2,,,,,,,,,,,,,,712,ENSMUSG00000135722,377
chr1,HAVANA,gene,8431698,9370103,.,-,.,ENSMUSG00000025909.17,protein_coding,Sntg1,2,MGI:1918346,OTTMUSG00000033160.1,,,,,overlapping_locus,,,,,,,938405,ENSMUSG00000025909,4887
chr1,HAVANA,gene,8521183,8523715,.,-,.,ENSMUSG00000102647.2,TEC,Gm38024,2,MGI:5611252,OTTMUSG00000050604.1,,,,,,,,,,,,2532,ENSMUSG00000102647,2532
chr1,HAVANA,gene,8538649,8539049,.,-,.,ENSMUSG00000086235.2,processed_pseudogene,Gm16284,2,MGI:3826541,OTTMUSG00000033159.1,,,,,overlapping_locus,,,,,,,400,ENSMUSG00000086235,400
chr1,HAVANA,gene,8547712,8550003,.,+,.,ENSMUSG00000123533.1,lncRNA,ENSMUSG00000123533,2,,,,,,,,,,,,,,2291,ENSMUSG00000123533,473
chr1,HAVANA,gene,8598003,8601537,.,-,.,ENSMUSG00000102253.2,TEC,Gm38259,2,MGI:5611487,OTTMUSG00000050603.1,,,,,,,,,,,,3534,ENSMUSG00000102253,3534
chr1,ENSEMBL,gene,8658838,8658948,.,-,.,ENSMUSG00002074990.1,miRNA,Gm54704,3,MGI:6845886,,,,,,,,,,,,,110,ENSMUSG00002074990,110
chr1,HAVANA,gene,8713919,8715083,.,-,.,ENSMUSG00000103884.2,TEC,Gm37005,2,MGI:5610233,OTTMUSG00000050601.1,,,,,,,,,,,,1164,ENSMUSG00000103884,1164
chr1,HAVANA,gene,8862146,8862386,.,-,.,ENSMUSG00000084353.2,processed_pseudogene,Gm15452,2,MGI:3768636,OTTMUSG00000022090.1,,,,,overlapping_locus,,,,,,,240,ENSMUSG00000084353,240
chr1,HAVANA,gene,8886065,8886263,.,+,.,ENSMUSG00000103933.2,processed_pseudogene,Gm36964,2,MGI:5610192,OTTMUSG00000050573.1,,,,,,,,,,,,198,ENSMUSG00000103933,198
chr1,ENSEMBL,gene,8886361,8886471,.,+,.,ENSMUSG00002075967.1,miRNA,Gm54706,3,MGI:6845890,,,,,,,,,,,,,110,ENSMUSG00002075967,110
chr1,HAVANA,gene,8926151,8926491,.,-,.,ENSMUSG00000086195.2,processed_pseudogene,Gm6152,2,MGI:3648859,OTTMUSG00000033161.1,,,,,overlapping_locus,,,,,,,340,ENSMUSG00000086195,340
chr1,HAVANA,gene,8926986,8927326,.,+,.,ENSMUSG00000104504.2,processed_pseudogene,Gm7445,2,MGI:3644942,OTTMUSG00000050596.1,,,,,,,,,,,,340,ENSMUSG00000104504,340
chr1,HAVANA,gene,9006505,9012029,.,+,.,ENSMUSG00000123491.1,lncRNA,ENSMUSG00000123491,2,,,,,,,,,,,,,,5524,ENSMUSG00000123491,554
chr1,HAVANA,gene,9033219,9033845,.,-,.,ENSMUSG00000066693.3,processed_pseudogene,Gm7493,2,MGI:3643471,OTTMUSG00000033162.1,,,,,overlapping_locus,,,,,,,626,ENSMUSG00000066693,626
chr1,HAVANA,gene,9261291,9262341,.,-,.,ENSMUSG00000102316.2,TEC,Gm37629,2,MGI:5610857,OTTMUSG00000045228.1,,,,,,,,,,,,1050,ENSMUSG00000102316,1050
chr1,HAVANA,gene,9328841,9329359,.,-,.,ENSMUSG00000103819.2,processed_pseudogene,Gm38008,2,MGI:5611236,OTTMUSG00000050574.1,,,,,overlapping_locus,,,,,,,518,ENSMUSG00000103819,518
chr1,HAVANA,gene,9357146,9360405,.,+,.,ENSMUSG00000102871.2,TEC,Gm37143,2,MGI:5610371,OTTMUSG00000045229.1,,,,,,,,,,,,3259,ENSMUSG00000102871,3259
chr1,HAVANA,gene,9466997,9468912,.,-,.,ENSMUSG00000101571.3,processed_pseudogene,Gm6187,2,MGI:3648954,OTTMUSG00000050584.1,,,,,,,,,,,,1915,ENSMUSG00000101571,960
chr1,HAVANA,gene,9507234,9508596,.,+,.,ENSMUSG00000135814.1,lncRNA,ENSMUSG00000135814,2,,,,,,,,,,,,,,1362,ENSMUSG00000135814,752
chr1,HAVANA,gene,9509965,9510601,.,-,.,ENSMUSG00000104428.2,processed_pseudogene,Gm18299,2,MGI:5010484,OTTMUSG00000050582.1,,,,,,,,,,,,636,ENSMUSG00000104428,636
chr1,HAVANA,gene,9520803,9521973,.,+,.,ENSMUSG00000102272.2,processed_pseudogene,Gm7512,2,MGI:3646401,OTTMUSG00000050579.1,,,,,,,,,,,,1170,ENSMUSG00000102272,1170
chr1,ENSEMBL,gene,9528894,9528997,.,+,.,ENSMUSG00000065625.3,snRNA,Gm24765,3,MGI:5454542,,,,,,,,,,,,,103,ENSMUSG00000065625,103
chr1,HAVANA,gene,9568870,9707225,.,-,.,ENSMUSG00000079671.11,lncRNA,2610203C22Rik,2,MGI:1919731,OTTMUSG00000022611.1,,,,,,,,,,,,138355,ENSMUSG00000079671,3475
chr1,HAVANA,gene,9569562,9571747,.,-,.,ENSMUSG00000103411.2,processed_pseudogene,Gm18300,2,MGI:5010485,OTTMUSG00000050299.1,,,,,,,,,,,,2185,ENSMUSG00000103411,1406
chr1,HAVANA,gene,9615632,9617680,.,+,.,ENSMUSG00000061024.9,protein_coding,Rrs1,2,MGI:1929721,OTTMUSG00000045230.1,,,,,,,,,,,,2048,ENSMUSG00000061024,2048
chr1,HAVANA,gene,9618172,9650898,.,+,.,ENSMUSG00000025911.15,protein_coding,Adhfe1,2,MGI:1923437,OTTMUSG00000022305.1,,,,,overlapping_locus,,,,,,,32726,ENSMUSG00000025911,3239
chr1,HAVANA,gene,9644772,9645874,.,+,.,ENSMUSG00000081441.4,processed_pseudogene,Gm6161,2,MGI:3644104,OTTMUSG00000021626.1,,,,,overlapping_locus,,,,,,,1102,ENSMUSG00000081441,1102
chr1,HAVANA,gene,9671423,9697368,.,+,.,ENSMUSG00000067879.4,protein_coding,Vxn,2,MGI:1924232,OTTMUSG00000022603.1,,,,,,,,,,,,25945,ENSMUSG00000067879,3256
chr1,HAVANA,gene,9709479,9710807,.,-,.,ENSMUSG00000099827.2,lncRNA,Gm29520,2,MGI:5580226,OTTMUSG00000045231.1,,,,,,,,,,,,1328,ENSMUSG00000099827,1067
chr1,HAVANA,gene,9737639,9770434,.,-,.,ENSMUSG00000025912.17,protein_coding,Mybl1,2,MGI:99925,OTTMUSG00000034736.1,,,,,,,,,,,,32795,ENSMUSG00000025912,4980
